time	V(n004)
9.165302496443989e-002	1.510274e-002
9.165618724568451e-002	1.740108e-002
9.165910776931834e-002	1.956964e-002
9.166669761891573e-002	2.525284e-002
9.167428746851314e-002	3.092330e-002
9.168187731811053e-002	3.658101e-002
9.168946716770793e-002	4.222598e-002
9.169705701730532e-002	4.785820e-002
9.170464686690273e-002	5.347768e-002
9.171223671650013e-002	5.908442e-002
9.174312349800731e-002	8.196739e-002
9.180489706102167e-002	1.276712e-001
9.192844418705040e-002	2.188087e-001
9.207771653939977e-002	3.283343e-001
9.231728352961340e-002	5.020874e-001
9.263404909120911e-002	7.235125e-001
9.303370371076755e-002	9.806631e-001
9.383301294988443e-002	1.415551e+000
9.478283647779295e-002	1.811856e+000
9.513178168389110e-002	1.908851e+000
9.539175599280869e-002	1.949789e+000
9.569099095483176e-002	1.971283e+000
9.603038439179018e-002	1.965666e+000
9.640408138005234e-002	1.917898e+000
9.700993225694897e-002	1.758719e+000
9.773824889139882e-002	1.462339e+000
9.842942592270562e-002	1.085250e+000
9.912813230792748e-002	6.346778e-001
9.943835717385474e-002	4.175325e-001
9.963430116562123e-002	2.751637e-001
9.975329252768454e-002	1.876928e-001
9.986969252413698e-002	1.018291e-001
9.999552521894917e-002	9.804383e-003
1.000000000000000e-001	-1.#IND00e+000
